"","Team","Year","ContestFirst","FirstPct","ContestTop5","Top5Pct"
"79","North Bellmore Rinky Dinks",2016,"CLadderFirstPlace",1.66666666666667,"CLadderTop5",30
"80","West Hempstead Westerners",2016,"CLadderFirstPlace",12.3333333333333,"CLadderTop5",70
"81","Manhasset-Lakeville Minute Men",2016,"CLadderFirstPlace",0,"CLadderTop5",0.333333333333333
"82","Rockville Centre Woodlanders",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"83","Levittown Rebels",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"84","Oyster Bay Teddy's Boys",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"85","Merrick Buckeyes",2016,"CLadderFirstPlace",0,"CLadderTop5",0.666666666666667
"86","New Hyde Park Termites",2016,"CLadderFirstPlace",0,"CLadderTop5",1.33333333333333
"87","Clayton Calumets",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"88","Brentwood Tigers",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"89","Farmingville Bandits",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"90","Elsmere Wanderers",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"91","East Islip Guzzlers",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"92","Baldwin Tomcats",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"93","Henrietta Ol' Henries",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"94","Point Pleasant Pea Pickers",2016,"CHoseFirstPlace",0.666666666666667,"CHoseTop5",32
"95","Sayville Blue Jays",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"96","Sea Breeze Indians",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"97","Copenhagen Cubs",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"98","Great Bend Cobras",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"99","West Carthage Hornets",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"100","Carthage Nighthawks",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"101","Louisville Turtles",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"102","Islip Wolves",2016,"CHoseFirstPlace",19.3333333333333,"CHoseTop5",54.3333333333333
"103","Bay Shore Redskins",2016,"CHoseFirstPlace",6.66666666666667,"CHoseTop5",39.3333333333333
"104","Deer Park Bucks",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"105","East Farmingdale Hares",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"106","West Sayville Flying Dutchmen",2016,"CHoseFirstPlace",7.66666666666667,"CHoseTop5",32.6666666666667
"107","North Greece Lil Squirts",2016,"CHoseFirstPlace",0,"CHoseTop5",0.333333333333333
"108","Central Islip Hoboes",2016,"CHoseFirstPlace",18.6666666666667,"CHoseTop5",71.3333333333333
"109","Hagerman Gamblers",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"110","Cutchogue Panthers",2016,"CHoseFirstPlace",0,"CHoseTop5",1.66666666666667
"111","Lindenhurst Snails",2016,"CHoseFirstPlace",1.66666666666667,"CHoseTop5",43.3333333333333
"112","Main-Transit Slo Pokes",2016,"CHoseFirstPlace",0,"CHoseTop5",0.333333333333333
"113","North Lindenhurst Piston Knockers",2016,"CHoseFirstPlace",25.6666666666667,"CHoseTop5",79.6666666666667
"114","Riverhead Ironmen",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"115","Copiague Yellowbirds",2016,"CHoseFirstPlace",0,"CHoseTop5",9
"116","Selden Slowpokes",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"117","Spencerport Red Onions",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"118","Sheridan Park All Thumbs",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"119","Roslyn Highlanders",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"120","Westbury Turtles",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"121","Carle Place Frogs",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"122","Hicksville Hicks",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"123","North Merrick",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"124","Port Washington Road Runners",2016,"CHoseFirstPlace",17.6666666666667,"CHoseTop5",56.3333333333333
"125","North Bellmore Rinky Dinks",2016,"CHoseFirstPlace",0,"CHoseTop5",11.3333333333333
"126","West Hempstead Westerners",2016,"CHoseFirstPlace",2,"CHoseTop5",65.6666666666667
"127","Manhasset-Lakeville Minute Men",2016,"CHoseFirstPlace",0,"CHoseTop5",1
"128","Rockville Centre Woodlanders",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"129","Levittown Rebels",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"130","Oyster Bay Teddy's Boys",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"131","Merrick Buckeyes",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"132","New Hyde Park Termites",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"133","Clayton Calumets",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"134","Brentwood Tigers",2016,"CHoseFirstPlace",0,"CHoseTop5",0.333333333333333
"135","Farmingville Bandits",2016,"CHoseFirstPlace",0,"CHoseTop5",1
"136","Elsmere Wanderers",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"137","East Islip Guzzlers",2016,"CHoseFirstPlace",0,"CHoseTop5",0.333333333333333
"138","Baldwin Tomcats",2016,"CHoseFirstPlace",0,"CHoseTop5",0
"139","Henrietta Ol' Henries",2016,"BHoseFirstPlace",0,"BHoseTop5",11
"140","Point Pleasant Pea Pickers",2016,"BHoseFirstPlace",8.66666666666667,"BHoseTop5",35
"141","Sayville Blue Jays",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"142","Sea Breeze Indians",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"143","Copenhagen Cubs",2016,"BHoseFirstPlace",0,"BHoseTop5",0.666666666666667
"144","Great Bend Cobras",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"145","West Carthage Hornets",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"146","Carthage Nighthawks",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"147","Louisville Turtles",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"148","Islip Wolves",2016,"BHoseFirstPlace",2.33333333333333,"BHoseTop5",66.3333333333333
"149","Bay Shore Redskins",2016,"BHoseFirstPlace",0,"BHoseTop5",22.6666666666667
"150","Deer Park Bucks",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"151","East Farmingdale Hares",2016,"BHoseFirstPlace",0,"BHoseTop5",1.66666666666667
"152","West Sayville Flying Dutchmen",2016,"BHoseFirstPlace",7.66666666666667,"BHoseTop5",66.3333333333333
"153","North Greece Lil Squirts",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"154","Central Islip Hoboes",2016,"BHoseFirstPlace",35,"BHoseTop5",59.6666666666667
"155","Hagerman Gamblers",2016,"BHoseFirstPlace",0,"BHoseTop5",1
"156","Cutchogue Panthers",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"157","Lindenhurst Snails",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"158","Main-Transit Slo Pokes",2016,"BHoseFirstPlace",0,"BHoseTop5",0.666666666666667
"159","North Lindenhurst Piston Knockers",2016,"BHoseFirstPlace",39.3333333333333,"BHoseTop5",64.6666666666667
"160","Riverhead Ironmen",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"161","Copiague Yellowbirds",2016,"BHoseFirstPlace",0,"BHoseTop5",21.3333333333333
"162","Selden Slowpokes",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"163","Spencerport Red Onions",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"164","Sheridan Park All Thumbs",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"165","Roslyn Highlanders",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"166","Westbury Turtles",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"167","Carle Place Frogs",2016,"BHoseFirstPlace",0,"BHoseTop5",0.666666666666667
"168","Hicksville Hicks",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"169","North Merrick",2016,"BHoseFirstPlace",0,"BHoseTop5",0.666666666666667
"170","Port Washington Road Runners",2016,"BHoseFirstPlace",5.33333333333333,"BHoseTop5",75
"171","North Bellmore Rinky Dinks",2016,"BHoseFirstPlace",0,"BHoseTop5",14
"172","West Hempstead Westerners",2016,"BHoseFirstPlace",1.66666666666667,"BHoseTop5",46
"173","Manhasset-Lakeville Minute Men",2016,"BHoseFirstPlace",0,"BHoseTop5",7
"174","Rockville Centre Woodlanders",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"175","Levittown Rebels",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"176","Oyster Bay Teddy's Boys",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"177","Merrick Buckeyes",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"178","New Hyde Park Termites",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"179","Clayton Calumets",2016,"BHoseFirstPlace",0,"BHoseTop5",0.333333333333333
"180","Brentwood Tigers",2016,"BHoseFirstPlace",0,"BHoseTop5",0.666666666666667
"181","Farmingville Bandits",2016,"BHoseFirstPlace",0,"BHoseTop5",1
"182","Elsmere Wanderers",2016,"BHoseFirstPlace",0,"BHoseTop5",1
"183","East Islip Guzzlers",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"184","Baldwin Tomcats",2016,"BHoseFirstPlace",0,"BHoseTop5",0
"185","Henrietta Ol' Henries",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"186","Point Pleasant Pea Pickers",2016,"EfficiencyFirstPlace",0.333333333333333,"EfficiencyTop5",12.3333333333333
"187","Sayville Blue Jays",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"188","Sea Breeze Indians",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"189","Copenhagen Cubs",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"190","Great Bend Cobras",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"191","West Carthage Hornets",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"192","Carthage Nighthawks",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"193","Louisville Turtles",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"194","Islip Wolves",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",26.6666666666667
"195","Bay Shore Redskins",2016,"EfficiencyFirstPlace",0.333333333333333,"EfficiencyTop5",18
"196","Deer Park Bucks",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",8.33333333333333
"197","East Farmingdale Hares",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"198","West Sayville Flying Dutchmen",2016,"EfficiencyFirstPlace",13.6666666666667,"EfficiencyTop5",64
"199","North Greece Lil Squirts",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"200","Central Islip Hoboes",2016,"EfficiencyFirstPlace",63.3333333333333,"EfficiencyTop5",97.3333333333333
"201","Hagerman Gamblers",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"202","Cutchogue Panthers",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"203","Lindenhurst Snails",2016,"EfficiencyFirstPlace",0.333333333333333,"EfficiencyTop5",28.3333333333333
"204","Main-Transit Slo Pokes",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"205","North Lindenhurst Piston Knockers",2016,"EfficiencyFirstPlace",2.33333333333333,"EfficiencyTop5",47.6666666666667
"206","Riverhead Ironmen",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"207","Copiague Yellowbirds",2016,"EfficiencyFirstPlace",1,"EfficiencyTop5",11.6666666666667
"208","Selden Slowpokes",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"209","Spencerport Red Onions",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"210","Sheridan Park All Thumbs",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"211","Roslyn Highlanders",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"212","Westbury Turtles",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"213","Carle Place Frogs",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",30.3333333333333
"214","Hicksville Hicks",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",6.33333333333333
"215","North Merrick",2016,"EfficiencyFirstPlace",0.333333333333333,"EfficiencyTop5",15.6666666666667
"216","Port Washington Road Runners",2016,"EfficiencyFirstPlace",8.66666666666667,"EfficiencyTop5",47
"217","North Bellmore Rinky Dinks",2016,"EfficiencyFirstPlace",0.666666666666667,"EfficiencyTop5",15.6666666666667
"218","West Hempstead Westerners",2016,"EfficiencyFirstPlace",8.66666666666667,"EfficiencyTop5",50
"219","Manhasset-Lakeville Minute Men",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"220","Rockville Centre Woodlanders",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"221","Levittown Rebels",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"222","Oyster Bay Teddy's Boys",2016,"EfficiencyFirstPlace",0.333333333333333,"EfficiencyTop5",16.6666666666667
"223","Merrick Buckeyes",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0.666666666666667
"224","New Hyde Park Termites",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"225","Clayton Calumets",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"226","Brentwood Tigers",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"227","Farmingville Bandits",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",3.33333333333333
"228","Elsmere Wanderers",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"229","East Islip Guzzlers",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"230","Baldwin Tomcats",2016,"EfficiencyFirstPlace",0,"EfficiencyTop5",0
"231","Henrietta Ol' Henries",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",9.33333333333333
"232","Point Pleasant Pea Pickers",2016,"MotorPumpFirstPlace",0.333333333333333,"MotorPumpTop5",36.3333333333333
"233","Sayville Blue Jays",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"234","Sea Breeze Indians",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"235","Copenhagen Cubs",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.333333333333333
"236","Great Bend Cobras",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.333333333333333
"237","West Carthage Hornets",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.333333333333333
"238","Carthage Nighthawks",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"239","Louisville Turtles",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",1
"240","Islip Wolves",2016,"MotorPumpFirstPlace",19.6666666666667,"MotorPumpTop5",59.3333333333333
"241","Bay Shore Redskins",2016,"MotorPumpFirstPlace",1,"MotorPumpTop5",27
"242","Deer Park Bucks",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"243","East Farmingdale Hares",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"244","West Sayville Flying Dutchmen",2016,"MotorPumpFirstPlace",41.3333333333333,"MotorPumpTop5",74
"245","North Greece Lil Squirts",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",6.33333333333333
"246","Central Islip Hoboes",2016,"MotorPumpFirstPlace",14,"MotorPumpTop5",57.6666666666667
"247","Hagerman Gamblers",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"248","Cutchogue Panthers",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",3.33333333333333
"249","Lindenhurst Snails",2016,"MotorPumpFirstPlace",4,"MotorPumpTop5",24.6666666666667
"250","Main-Transit Slo Pokes",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"251","North Lindenhurst Piston Knockers",2016,"MotorPumpFirstPlace",10.6666666666667,"MotorPumpTop5",61
"252","Riverhead Ironmen",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",6.66666666666667
"253","Copiague Yellowbirds",2016,"MotorPumpFirstPlace",4.33333333333333,"MotorPumpTop5",30
"254","Selden Slowpokes",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.666666666666667
"255","Spencerport Red Onions",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",5
"256","Sheridan Park All Thumbs",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"257","Roslyn Highlanders",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"258","Westbury Turtles",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"259","Carle Place Frogs",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",1
"260","Hicksville Hicks",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",1.33333333333333
"261","North Merrick",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",2
"262","Port Washington Road Runners",2016,"MotorPumpFirstPlace",3,"MotorPumpTop5",34.6666666666667
"263","North Bellmore Rinky Dinks",2016,"MotorPumpFirstPlace",0.333333333333333,"MotorPumpTop5",10.3333333333333
"264","West Hempstead Westerners",2016,"MotorPumpFirstPlace",1.33333333333333,"MotorPumpTop5",42.3333333333333
"265","Manhasset-Lakeville Minute Men",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.666666666666667
"266","Rockville Centre Woodlanders",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"267","Levittown Rebels",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"268","Oyster Bay Teddy's Boys",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.333333333333333
"269","Merrick Buckeyes",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.666666666666667
"270","New Hyde Park Termites",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.333333333333333
"271","Clayton Calumets",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"272","Brentwood Tigers",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.666666666666667
"273","Farmingville Bandits",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0.333333333333333
"274","Elsmere Wanderers",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",1
"275","East Islip Guzzlers",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",0
"276","Baldwin Tomcats",2016,"MotorPumpFirstPlace",0,"MotorPumpTop5",1
"277","Henrietta Ol' Henries",2016,"BucketsFirstPlace",0.666666666666667,"BucketsTop5",8.33333333333333
"278","Point Pleasant Pea Pickers",2016,"BucketsFirstPlace",0,"BucketsTop5",5
"279","Sayville Blue Jays",2016,"BucketsFirstPlace",0,"BucketsTop5",0
"280","Sea Breeze Indians",2016,"BucketsFirstPlace",0,"BucketsTop5",0
"281","Copenhagen Cubs",2016,"BucketsFirstPlace",0,"BucketsTop5",10
"282","Great Bend Cobras",2016,"BucketsFirstPlace",0,"BucketsTop5",11.6666666666667
"283","West Carthage Hornets",2016,"BucketsFirstPlace",0,"BucketsTop5",0
"284","Carthage Nighthawks",2016,"BucketsFirstPlace",0,"BucketsTop5",0
"285","Louisville Turtles",2016,"BucketsFirstPlace",0,"BucketsTop5",2
"286","Islip Wolves",2016,"BucketsFirstPlace",4.33333333333333,"BucketsTop5",50.3333333333333
"287","Bay Shore Redskins",2016,"BucketsFirstPlace",34.3333333333333,"BucketsTop5",43.3333333333333
"288","Deer Park Bucks",2016,"BucketsFirstPlace",0.333333333333333,"BucketsTop5",4
"289","East Farmingdale Hares",2016,"BucketsFirstPlace",0,"BucketsTop5",0
"290","West Sayville Flying Dutchmen",2016,"BucketsFirstPlace",25.6666666666667,"BucketsTop5",38
"291","North Greece Lil Squirts",2016,"BucketsFirstPlace",0,"BucketsTop5",6
"292","Central Islip Hoboes",2016,"BucketsFirstPlace",4.33333333333333,"BucketsTop5",53
"293","Hagerman Gamblers",2016,"BucketsFirstPlace",0,"BucketsTop5",11
"294","Cutchogue Panthers",2016,"BucketsFirstPlace",0,"BucketsTop5",5.33333333333333
"295","Lindenhurst Snails",2016,"BucketsFirstPlace",0,"BucketsTop5",9
"296","Main-Transit Slo Pokes",2016,"BucketsFirstPlace",0,"BucketsTop5",11.3333333333333
